2025-08-23 20:56:45,869 INFO    MainThread:3459449 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-08-23 20:56:45,870 INFO    MainThread:3459449 [wandb_setup.py:_flush():70] Configure stats pid to 3459449
2025-08-23 20:56:45,870 INFO    MainThread:3459449 [wandb_setup.py:_flush():70] Loading settings from /home/aiotlab/.config/wandb/settings
2025-08-23 20:56:45,870 INFO    MainThread:3459449 [wandb_setup.py:_flush():70] Loading settings from /mnt/disk1/aiotlab/namth/EEGFoundationModel/CBraMod/wandb/settings
2025-08-23 20:56:45,870 INFO    MainThread:3459449 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-08-23 20:56:45,870 INFO    MainThread:3459449 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /mnt/disk1/aiotlab/namth/EEGFoundationModel/CBraMod/wandb/run-20250823_205645-ja813kms/logs/debug.log
2025-08-23 20:56:45,870 INFO    MainThread:3459449 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /mnt/disk1/aiotlab/namth/EEGFoundationModel/CBraMod/wandb/run-20250823_205645-ja813kms/logs/debug-internal.log
2025-08-23 20:56:45,870 INFO    MainThread:3459449 [wandb_init.py:init():852] calling init triggers
2025-08-23 20:56:45,871 INFO    MainThread:3459449 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': 'CIFAR-100', 'epochs': 10, '_wandb': {}}
2025-08-23 20:56:45,871 INFO    MainThread:3459449 [wandb_init.py:init():893] starting backend
2025-08-23 20:56:45,871 INFO    MainThread:3459449 [wandb_init.py:init():897] sending inform_init request
2025-08-23 20:56:45,878 INFO    MainThread:3459449 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-08-23 20:56:45,879 INFO    MainThread:3459449 [wandb_init.py:init():907] backend started and connected
2025-08-23 20:56:45,883 INFO    MainThread:3459449 [wandb_init.py:init():1005] updated telemetry
2025-08-23 20:56:45,891 INFO    MainThread:3459449 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
